,Ad name,Category,Price,Location,Time,Link,ID
0,Bmw stötfångar utfyllnadsdel och grill,Reservdelar,, Stockholm,2021-08-10 16:09,https://www.blocket.se/annonser/hela_sverige/fordon/bildelar_biltillbehor/reservdelar?cg=1044,96953952
1,"Specialized Diverge Comp E5, storlek 58",Herrcyklar,23 000 kr, Göteborg,2021-08-10 16:09,https://www.blocket.se/annonser/hela_sverige/fritid_hobby/cyklar/herrcyklar?cg=6062,96953932
2,Peugeot 307 5-dörrar 1.6 XT,Bilar,20 000 kr, Norrbotten,2021-08-10 16:09,https://www.blocket.se/annonser/hela_sverige/fordon/bilar?cg=1020,96953206
3,Tv-bänk /Skänk,Säng & sovrum,400 kr, Stockholm,2021-08-10 16:09,https://www.blocket.se/annonser/hela_sverige/for_hemmet/mobler_heminredning/sang_sovrum?cg=2047,96953953
4,Alpinestars skinnställ 2-del oanvänt,Hjälm/skydd/kläder,4 000 kr, Stockholm,2021-08-10 16:09,https://www.blocket.se/annonser/hela_sverige/fordon/mc_delar_tillbehor/hjalm_skydd_klader?cg=1163,96953948
5,Alfa Romeo 147 5-dörrar 2.0 TS Distinctive,Bilar,29 000 kr, Stockholm,2021-08-10 16:09,https://www.blocket.se/annonser/hela_sverige/fordon/bilar?cg=1020,96953093
6,Laika KREOS 3010,Husbil,379 000 kr, Kalmar,2021-08-10 16:08,https://www.blocket.se/annonser/hela_sverige/fordon/husvagnar_husbilar/husbil?cg=1102,96953962
7,Volkswagen Golf GTE 1.4 TSI DSG Euro 6 204hk,Bilar,279 000 kr, Älvsborg,2021-08-10 16:08,https://www.blocket.se/annonser/hela_sverige/fordon/bilar?cg=1020,96953960
8,"Volkswagen Polo VOLKSWAGEN, VW 6R",Bilar,99 800 kr, Göteborg,2021-08-10 16:08,https://www.blocket.se/annonser/hela_sverige/fordon/bilar?cg=1020,96953959
9,Volvo XC70 D5 Summum AWD MoK Dvärm SoV,Bilar,109 900 kr, Jämtland,2021-08-10 16:08,https://www.blocket.se/annonser/hela_sverige/fordon/bilar?cg=1020,96953955
10,Audi A6 AUDI,Bilar,394 800 kr, Stockholm,2021-08-10 16:08,https://www.blocket.se/annonser/hela_sverige/fordon/bilar?cg=1020,96953942
11,"Peugeot 308 SW 1,6 HDi 110hk",Bilar,69 000 kr, Östergötland,2021-08-10 16:08,https://www.blocket.se/annonser/hela_sverige/fordon/bilar?cg=1020,96953867
12,Volvo V60 D4 Geartronic Momentum Taklucka VoC Drag EU6 181hk,Bilar,137 900 kr, Stockholm,2021-08-10 16:08,https://www.blocket.se/annonser/hela_sverige/fordon/bilar?cg=1020,96953951
13,Plats i lösdrift,Foder & stall,1 900 kr, Västerbotten,2021-08-10 16:08,https://www.blocket.se/annonser/hela_sverige/fritid_hobby/hastar_ridsport/foder_stall?cg=6123,95948980
14,"Båtupptagningsvagn 1500 kg/6,6 m",Trailer,16 000 kr, Stockholm,2021-08-10 16:08,https://www.blocket.se/annonser/hela_sverige/fordon/batdelar_tillbehor/trailer?cg=1084,96953941
15,Volkswagen Polo 1.0 TSI | R-Line | Active Info | Backkamera,Bilar,159 900 kr, Uppsala,2021-08-10 16:08,https://www.blocket.se/annonser/hela_sverige/fordon/bilar?cg=1020,96953944
16,"Moped, m.m",Mopeder,, Gävleborg,2021-08-10 16:08,https://www.blocket.se/annonser/hela_sverige/fordon/mopeder_a_traktor/mopeder?cg=1121,96953947
17,Volvo L150H Fabriksny,Entreprenadmaskiner,, Skaraborg,2021-08-10 16:08,https://www.blocket.se/annonser/hela_sverige/fordon/lastbil_truck_entreprenad/entreprenadmaskiner?cg=1223,96709331
18,PRIDO 3x3 Industriport. NU TILL KAMPANJPRIS,Byggmaterial,12 625 kr, Älvsborg,2021-08-10 16:08,https://www.blocket.se/annonser/hela_sverige/for_hemmet/bygg_tradgard/byggmaterial?cg=2022,90621784
19,Giant stålracer,Racer,1 900 kr, Kronoberg,2021-08-10 16:08,https://www.blocket.se/annonser/hela_sverige/fritid_hobby/cyklar/racer?cg=6065,96953939
